"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J11";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"GPS Antenna";;;
2;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";4;"MountingHole_Pad";;;
3;"U6";"InvenSense_QFN-24_4x4mm_P0.5mm";1;"MPU-6050";;;
4;"U5";"ublox_NEO";1;"NEO-6M-GPS";;;
5;"U4";"HOPERF_RFM9XW_SMD";1;"RFM69HCW";;;
6;"U3";"SOT-23-5";1;"MIC5219-5.0YM5";;;
7;"U2";"SOT-23-5";1;"MIC5219-3.3YM5";;;
8;"U1";"ESP32-S2-WROVER";1;"ESP32-S2-WROVER";;;
9;"SW2,SW1";"SW_SPST_B3S-1000";2;"SW_Push";;;
10;"R4,R1";"R_1206_3216Metric";2;"100 OHM";;;
11;"R3";"C_0805_2012Metric";1;"4.7k";;;
12;"R2";"R_01005_0402Metric";1;"10 Ohm";;;
13;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C Interface";;;
14;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"SPI Interface";;;
15;"J8";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Female";;;
16;"J7";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG_SWD_10";;;
17;"J6,J5,J4";"PinHeader_1x01_P2.54mm_Vertical";3;"Conn_01x01_Male";;;
18;"J3";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01";;;
19;"J2";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
20;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Screw_Terminal";;;
21;"D2,D1";"LED_1206_3216Metric";2;"LED";;;
22;"C8,C7,C6,C5,C4";"CP_Elec_4x3";5;".1 uF";;;
23;"C3,C2";"CP_Elec_4x3";2;"22uF";;;
24;"C1";"CP_Elec_4x3";1;"4.7 uF";;;
25;"BT1";"BatteryHolder_Eagle_12BH611-GR";1;"Battery";;;
26;"AE2";"Texas_SWRA117D_2.4GHz_Left";1;"Comms Antenna";;;
27;"C9";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";1;"2200pF";;;
28;".1uF1";"CP_Elec_4x3";1;"CP_Small";;;
