Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7 uF","CP_Elec_4x3",91.440000,-128.270000,270.000000,top
"C2","22uF","CP_Elec_4x3",123.190000,-135.890000,270.000000,top
"C3","22uF","CP_Elec_4x3",97.790000,-135.890000,270.000000,top
"C4",".1 uF","CP_Elec_4x3",104.140000,-128.270000,270.000000,top
"C5",".1 uF","CP_Elec_4x3",97.790000,-128.270000,270.000000,top
"C6",".1 uF","CP_Elec_4x3",110.490000,-128.270000,270.000000,top
"C7",".1 uF","CP_Elec_4x3",110.490000,-135.890000,270.000000,top
"C8",".1 uF","CP_Elec_4x3",116.840000,-128.270000,270.000000,top
"C9","2200pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",149.860000,-107.950000,270.000000,top
"C10",".1uF","CP_Elec_4x3",116.840000,-135.890000,270.000000,top
"D1","LED","LED_1206_3216Metric",123.190000,-128.270000,270.000000,top
"D2","LED","LED_1206_3216Metric",138.430000,-102.870000,270.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",75.946000,-110.363000,270.000000,top
"J11","Antenna","U.FL_Molex_MCRF_73412-0110_Vertical",171.450000,-94.615000,270.000000,top
"R1","100 OHM","R_1206_3216Metric",128.270000,-128.270000,270.000000,top
"R2","10 Ohm","R_01005_0402Metric",163.830000,-95.250000,90.000000,top
"R3","4.7k","C_0805_2012Metric",149.860000,-111.440000,270.000000,top
"R4","100 OHM","R_1206_3216Metric",138.430000,-109.220000,270.000000,top
"SW1","SW_Push","SW_SPST_B3S-1000",120.650000,-107.950000,90.000000,top
"SW2","SW_Push","SW_SPST_B3S-1000",130.810000,-107.950000,90.000000,top
"U1","ESP32-S2-WROVER","ESP32-S2-WROVER",125.225000,-86.365000,0.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",104.140000,-135.890000,180.000000,top
"U3","MIC5219-5.0YM5","SOT-23-5",91.440000,-135.890000,180.000000,top
"U4","RFM69HCW","HOPERF_RFM9XW_SMD",148.590000,-74.930000,0.000000,top
"U5","NEO-6M-GPS","ublox_NEO",148.590000,-96.520000,0.000000,top
"U6","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",144.780000,-109.220000,0.000000,top
